TURN,UTTERANCE,DA,EMOTION
Ses05F_impro03_M003,No way.,s,exc
Ses05F_impro03_F003,Yeah.,ag,exc
Ses05F_impro03_M004,He asked you?,q,xxx
Ses05F_impro03_F004,Uh-huh.,ans,exc
Ses05F_impro03_M005,"No way, when? when,when, When did it happen?",q,exc
Ses05F_impro03_F005,Just a couple days ago.,ans,exc
Ses05F_impro03_M006,Oh my gosh.,s,exc
Ses05F_impro03_F006,[LAUGHTER],oth,xxx
Ses05F_impro03_M007,And you actually said yes.  I can't believe it.  I never thought you would get married.,o,exc
Ses05F_impro03_F007,I know me neither.,ag,exc
Ses05F_impro03_M008,Oh my gosh.,s,exc
Ses05F_impro03_F008,"Right, I thought I would be way older too. I thought I would be I be at least thirty something.",o,exc
Ses05F_impro03_M009,Oh absolutely.,ag,exc
Ses05F_impro03_M010,"Well, we always said we'd be in our thirtieth when we got married. And we were going to get married to each other if we didn't by then",s,exc
Ses05F_impro03_F009,Yeah.,ag,exc
Ses05F_impro03_F010,"I know, right. What'd we say, when we were thirty nine?",q,xxx
Ses05F_impro03_M011,"Thirty nine, yeah.  I can't believe it.  So you broke our pact. Thanks a lot.",ans,exc
Ses05F_impro03_F011,Sorry.,ap,exc
Ses05F_impro03_M012,"Thanks a lot.  Well, okay, you've got to tell me the details.  What did he say?  Where was it?  What happened?",q,exc
Ses05F_impro03_F012,"Um, Well, uh, I don't-I don't know how much planning he had done.",ans,xxx
Ses05F_impro03_M013,"Okay.  That's okay, spontaneous is great.  Spontaneous is awesome.",o,exc
Ses05F_impro03_FXX0,"Actually, but--",b,-
Ses05F_impro03_F013,It was really beautiful.,o,xxx
Ses05F_impro03_M014,You've got to love that.,o,xxx
Ses05F_impro03_F014,"Yeah, we went to a really great jazz show, and um-",s,xxx
Ses05F_impro03_M015,"Nice, you love the jazz.",o,xxx
Ses05F_impro03_F015,"Yeah, and after, we went up to this um, this place like a restaurant on the roof kind of thing.",s,xxx
Ses05F_impro03_M016,"Oh, okay, yeah.",b,xxx
Ses05F_impro03_F016,So you know like late dinner and champagne and what not.,s,xxx
Ses05F_impro03_M017,Were you in Chicago?,q,xxx
Ses05F_impro03_F017,Mm-hmm.,ans,xxx
Ses05F_impro03_M018,"Downtown, was it beautiful? of course it was beautiful",q,xxx
Ses05F_impro03_FXX1,yeah--,ans,-
Ses05F_impro03_F018,"so beautiful, full moon.",o,xxx
Ses05F_impro03_M019,"What a guy.  I can't believe it.  So okay, so do you know any details?  When's it going to be?  Anything?",q,xxx
Ses05F_impro03_F019,I don't know.  I guess next summer.,ans,xxx
Ses05F_impro03_M020,Am I in it?,q,exc
Ses05F_impro03_F020,"Yeah.  Yeah, of course.",ans,exc
Ses05F_impro03_M021,"Okay, I certainly hope so, of course.",ag,xxx
Ses05F_impro03_F021,So next fall I guess.,o,xxx
Ses05F_impro03_M022,Next fall.,s,xxx
Ses05F_impro03_F022,"Yeah, I like the autumn.",o,xxx
Ses05F_impro03_M023,Are you going to do it in town or are you out of town?,q,xxx
Ses05F_impro03_F023,"oh, We'll do it in town.",ans,xxx
Ses05F_impro03_M024,"Oh, okay.",ag,xxx
Ses05F_impro03_F024,"Yeah, his family doesn't live too far away, so I think-",s,xxx
Ses05F_impro03_M025,"Yeah, where's he from again?",q,xxx
Ses05F_impro03_F025,He's from Chicago as well.,ans,xxx
Ses05F_impro03_M026,"Oh he is, okay.",ag,xxx
Ses05F_impro03_F026,Yeah.,b,xxx
Ses05F_impro03_M027,"Cool, perfect.  Another Chicagoite, got to love it.",o,exc
Ses05F_impro03_F027,"It's so weird too, right, that like you can grow up so near somebody and never know them until you travel hundreds of miles away.",o,hap
Ses05F_impro03_MXX0,Yeah.,ag,-
Ses05F_impro03_M028,"Exactly, yeah.  I can't believe you met him in Africa.",o,xxx
Ses05F_impro03_F028,I know,ag,hap
Ses05F_impro03_M029,"And the chances, what are the chances of meeting somebody in Africa and then coming back to Chicago?",q,xxx
Ses05F_impro03_F029,"Right, being like oh, where are you from?  The U.S.  Where in the U.S.?  Chicago.  Where in Chicago?",ans,hap
Ses05F_impro03_M030,[LAUGHTER] I am sil,oth,hap
Ses05F_impro03_F030,"Knowing the neighborhood.  Yeah, it's pretty bizarre.",o,hap
Ses05F_impro03_M031,And now you're getting married.,s,exc
Ses05F_impro03_F031,Yeah.,ag,hap
Ses05F_impro03_M032,That is amazing.  You must be so excited.  Did you tell your mom?,q,exc
Ses05F_impro03_F032,Mm-hmm.,ans,hap
Ses05F_impro03_M033,"Oh, did she cry?",q,exc
Ses05F_impro03_F033,"Yeah, she loves him.",ans,hap
Ses05F_impro03_M034,"I knew it.  I knew it, of course she does.  How could you not love Mr. Peace Corps worker man?  He's the nicest guy ever.",ag,xxx
Ses05F_impro03_F034,"Yeah, she-yeah, that's my type.",s,hap
Ses05F_impro03_M035,[BREATHING],oth,exc
Ses05F_impro03_M036,you.. I can't believe it.  I'm so happy for you.  This is exactly what you wanted.  It's your dream come true.,o,exc
Ses05F_impro03_F035,Thank you.,g,hap
Ses05F_impro03_M037,"The exact right guy, I fully approve.  He's a wonderful guy.  We have a great time.  He can drink.  That's awesome.",o,exc
Ses05F_impro03_F036,[LAUGHTER],oth,hap
Ses05F_impro03_M038,[LAUGHTER],oth,hap
Ses05F_impro03_F037,"Yeah, we all have to hang out now.",s,exc
Ses05F_impro03_M039,"Of course, of course she will ... of course she will.  Yeah, don't go and disappear like everyone else after they get married and I never see them again.  That'll make me mad.  You don't want to make me mad.  You know how I get when I get mad.",o,exc
Ses05F_impro03_FXX2,No.,ag,-
Ses05F_impro03_FXX3,No.,ag,-
Ses05F_impro03_F038,"I mean, I I have I have some duty to the man I was going to marry if nobody else came up.",o,xxx
Ses05F_impro03_M040,Exactly.,ag,hap
Ses05F_impro03_M041,"Exactly, ""laugh"".",ag,hap
Ses05F_impro03_F039,Sorry.,ap,hap
Ses05F_impro03_M042,"ahh I was always worried you'd be a little bit jealous of me, but I was never quite that lucky.",o,xxx
Ses05F_impro03_F040,There's still time for that.,s,hap
Ses05F_impro03_M043,"Oh, thanks. move here before you get married [LAUGHTER]",s,exc
Ses05F_impro03_F041,[BREATHING],oth,hap
Ses05F_impro03_M044,"Perfect, okay, good. ""sigh""",o,exc
Ses05F_impro03_M045,"I don't feel so bad then.  Well, I'm excited for you.",o,exc
Ses05F_impro03_F042,I know. I can't believe it.,ag,exc
Ses05F_impro03_M046,I can't believe it.,o,exc
Ses05F_impro03_F043,I am very excited,o,exc
Ses05F_impro03_M047,Who else have you told?,q,xxx
Ses05F_impro03_F044,Just a few people.,ans,xxx
Ses05F_impro03_M048,Really?,q,xxx
Ses05F_impro03_F045,Just close friends so far.,ans,xxx
Ses05F_impro03_M049,So I was one of the first ones? That makes me feel so important.,o,hap
Ses05F_impro03_FXX3,Yeah.,ag,-
Ses05F_impro03_F046,I have to think about moving now.  We're going to move in together,s,hap
Ses05F_impro03_M050,"Oh yeah, of course.",ag,exc
Ses05F_impro03_F047,I think it's a good idea to live together before you get married.,o,hap
Ses05F_impro03_M051,"I think so, too.  Are you going to get a house or-",q,exc
Ses05F_impro03_F048,"I don't want a house, I mean just-",ans,hap
Ses05F_impro03_M052,No?,q,xxx
Ses05F_impro03_F049,L.A. apartment is fine.,ans,hap
Ses05F_impro03_M053,"Oh, nice.",o,xxx
Ses05F_impro03_F050,yeah.,ag,xxx
Ses05F_impro03_M054,A good apartment. [BREATHING],o,xxx
Ses05F_impro03_F051,"Two artists, though.  We're bound to be poor forever.",o,hap
Ses05F_impro03_M055,"Yeah, how are you going to survive?",q,xxx
Ses05F_impro03_M056,Exactly. Are you going to have kids?,q,xxx
Ses05F_impro03_F052,"Yeah, I think so.  I mean, not for a while.",ans,xxx
Ses05F_impro03_M057,yeah.,b,hap
Ses05F_impro03_M058,yeah.,ag,hap
Ses05F_impro03_F053,Definitely not for a while,s,hap
Ses05F_impro03_F054,yeah.,ag,hap
Ses05F_impro03_M059,"So now, I'm going to have to find somebody else to bear my children.",o,xxx
Ses05F_impro03_F055,[LAUGHTER] Good luck.,s,hap
Ses05F_impro03_M060,[LAUGHTER],oth,hap
Ses05F_impro03_M061,"Oh, thanks.  I'll need it.",o,hap
Ses05F_impro03_F056,"You won't have trouble, You won't have trouble.",o,hap
Ses05F_impro03_M062,"Oh thanks, you're too nice",o,hap
Ses05F_impro03_M063,just being polite now,o,hap
Ses05F_impro03_F057,"You should just approach her like that.  Hey, will you bear my children?",o,hap
Ses05F_impro03_M064,because I am not getting married.,o,hap
Ses05F_impro03_M065,"Exactly, [LAUGHTER] I think that'll go over great, don't you?",q,hap
Ses05F_impro03_F058,"Yeah, totally.",ans,hap
Ses05F_impro03_M066,"That's what girls like, right?",q,hap
Ses05F_impro03_F059,Total turn on.,ans,hap
Ses05F_impro03_M067,Would you mind popping out a few for me?,q,hap
Ses05F_impro03_F060,[LAUGHTER],oth,hap
Ses05F_impro03_M068,"That'd be great, thanks.",o,hap
Ses05F_impro04_F000,"Brian, I need help.",s,sad
Ses05F_impro04_M000,"Babe, I don't know what to tell you.  Don't give up.",s,neu
Ses05F_impro04_F001,I don't--I'm just--I'm thinking maybe I should move back home or something.  I don't I don't know what to do.  I can't - I cant keep living the way I'm living.,o,xxx
Ses05F_impro04_M001,"Well, of course not, but what are you going to do if you move back home?  Are you going to be able to find a job there?",q,neu
Ses05F_impro04_F002,"I don't know.  I mean, what am I supposed to do? I've It's not for lack of effort.  I've been trying.",ans,fru
Ses05F_impro04_M002,"I wish I had some answers for you, babe.  I mean-I don't know what to tell you.",s,fru
Ses05F_impro04_F003,How did you get a job?  What am I - What am I supposed to do?,q,fru
Ses05F_impro04_M003,I went to school and I got my degree.  And I got a job.,ans,neu
Ses05F_impro04_F004,"I mean, I just don't--I don't know.  If you don't have a lot of qualification, where do you - where do you find work?  It's like L.A. is so frustrating because if you don't know somebody, you can't -you can't get a job.  It's impossible.  It's totally discriminatory.  You have to know somebody.",o,fru
Ses05F_impro04_M004,Nothing's impossible.,dag,neu
Ses05F_impro04_F005,It's not fair.,o,fru
Ses05F_impro04_M005,You have to be willing - You have to be willing to start you know at the bottom and work your way up. and,o,neu
Ses05F_impro04_F006,That's fine.  I'd be willing to start anywhere.  I can't get a job.,o,fru
Ses05F_impro04_M006,I,b,fru
Ses05F_impro04_F007,"I mean, on six seven and five an hour does not - does not pay the bills I mean.",s,fru
Ses05F_impro04_M007,"No, it doesn't pay the bills, but it would pay something.  And it would help you get somewhere else.",o,neu
Ses05F_impro04_F008,I still can't live on in six seven and five.  It's not possible in Los Angeles.  Housing is too expensive.,s,ang
Ses05F_impro04_M008,"and No, I understand, but you've got to start somewhere.  It's better than nothing and that's all you have.  You have nothing right now.",o,neu
Ses05F_impro04_F009,"I mean I can do the McDonald's thing for a while as humiliating as that is, but I mean then what?  I mean You can't exactly move up in that kind of industry.",o,fru
Ses05F_impro04_M009,"Wait, You can move up.  There's management programs in McDonalds and things like that.",dag,neu
Ses05F_impro04_F010,"Oh come on, that's not what I envisioned for myself. Honestly, would you settle for being a manager at McDonalds?",q,fru
Ses05F_impro04_MXX0,"Well, of course not--",dag,-
Ses05F_impro04_M010,"[GARBAGE] No, I wouldn't, but I--",ans,neu
Ses05F_impro04_F011,This is humiliating.,o,fru
Ses05F_impro04_M011,"Well, you know what?  Life gets humili... humiliating at times.",o,neu
Ses05F_impro04_F012,"No, I don't I don't want to accept that.  I think that's bullshit.",dag,fru
Ses05F_impro04_M012,"Well, what are you going to do about it to make it different?",q,neu
Ses05F_impro04_F013,I don't know.  I feel like I've tried everything.,ans,fru
Ses05F_impro04_M013,Have you?  There's got to be something else.,q,neu
Ses05F_impro04_F014,Three years of going out every day--every day--and looking for a job and being constantly denied everywhere I go.,ans,fru
Ses05F_impro04_M014,"I don't know what to tell you, babe. Maybe- Maybe you're right.  Maybe you do have to go someplace else.  I don't know, maybe it's just not meant to be here.  I mean I want you to-I don't want you to give up, but I mean I don't want you to move away, but at the same time, I don't like seeing you like this.",o,fru
Ses05F_impro04_F015,I'm just so scared to start over I mean.  I put so much time and energy into being here.,s,sad
Ses05F_impro04_F016,"Where am I supposed to go?  I mean, like what?",q,sad
Ses05F_impro04_M015,"If it's rent or something like that, I mean I can help you out a little bit, if- if that will help you you know stick with it.",ans,neu
Ses05F_impro04_F017,I don't know. Maybe I can take out a loan. I just- I need prospects and I don't feel like I have any.,o,sad
Ses05F_impro04_M016,"Well, just don't give up. And there's- you know, You never know, something might be around the corner tomorrow.",o,neu
Ses05F_impro04_F018,But that doesn't help me when I'm hungry now.,o,xxx
Ses05F_impro04_M017,"Well, you know I'm not going to let you starve.",o,neu
Ses05F_impro04_F019,I'm just worried.,o,sad
Ses05F_impro04_M018,"Of course, you're worried.  We're all worried.  I'm worried for you.  Everyone's always worried.  You know, I don't-maybe I have a job and yeah, it's a good job whatever and I'm happy, but it doesn't mean I'm going to have it tomorrow or the next day.  You never know what's going to happen.  Something crazy could happen tomorrow.",o,xxx
Ses05F_impro04_F020,It's three years.,s,fru
Ses05F_impro04_M019,"I understand, but you know what, you've been negative for three years.",o,fru
Ses05F_impro04_F021,Is that honestly what you think?,q,xxx
Ses05F_impro04_M020,"It's the way it seems to me.  You started complaining about not being able to find a job the first day you went out and didn't find a job.  And I'm not saying like and not trying to you know put you down or anything, it's just that-",ans,neu
Ses05F_impro04_F022,That's really hard to hear.,o,sad
Ses05F_impro04_M021,"But it's true, babe.  You've got to be more positive about things.  Like- Have some faith in yourself.",o,fru
Ses05F_impro04_F023,I feel like I have faith and now faith is running thin because there is no money.,o,sad
Ses05F_impro04_M022,"Well, exactly.  Money is not everything.",o,neu
Ses05F_impro04_F024,"Brian, I don't think you have a concept of what I mean by- by money.  I don't mean money like oh, I can't go get my hair and my nails done today, I mean like I can't eat.",o,fru
Ses05F_impro04_M023,You can.,dag,fru
Ses05F_impro04_F025,"No, no, really, if I can't pay to live somewhere, I'm going to end up living in my car.",s,xxx
Ses05F_impro04_M024,You know I would never let that happen.  I wouldn't let that happen.,o,neu
Ses05F_impro04_F026,I just-- I,s,fru
Ses05F_impro04_M025,"You can always stay with me if you- if you have to stay with me for a while and get yourself back up on your feet again.  You know I'm not just going to you know just throw you to the wolves or something like that.  If there's any way I can help you, I will.",o,neu
Ses05F_impro04_F027,"Well, thank you.",g,xxx
Ses05F_impro04_M026,But you have to keep trying.  You can't give up.,o,neu
Ses05F_impro04_F028,"Yeah, I don't intend to stop trying.  I just--I don't when is when enough is enough.",o,fru
Ses05F_impro04_M027,"And you've got to think--well, ask yourself why are they not hiring you?",q,neu
Ses05F_impro04_F029,I don't know.,ans,fru
Ses05F_impro04_M028,I mean are you going in for interviews?,q,neu
Ses05F_impro04_F030,"Yeah, and I look nice and I'm you know--",ans,fru
Ses05F_impro04_M029,Are you presenting-,q,neu
Ses05F_impro04_F031,charismatic.,ans,fru
Ses05F_impro04_M030,putting your best foot forward? or you,q,neu
Ses05F_impro04_F032,"yah, to-totally, and I'm not--",ans,fru
Ses05F_impro04_M031,"Do they seem to like you? I mean, Can you get any read from them?",q,neu
Ses05F_impro04_F033,"Yeah, I always think so, but I- I just feel like it's a lot of lip service everywhere I go.",ans,fru
Ses05F_impro04_M032,Have you ever called them back and asked why you didn't get the job?,q,neu
Ses05F_impro04_F034,"Yeah, I follow up.",ans,fru
Ses05F_impro04_M033,Do they give you any specifics as to why they didn't go with you?,q,neu
Ses05F_impro04_F035,It's just like- it's a matter of-,ans,fru
Ses05F_impro04_F036,"not tall enough, not pretty enough, not--you know how this place is.",s,fru
Ses05F_impro04_M034,"Yeah, I understand. maybe What jobs are we talking about?",q,neu
Ses05F_impro04_F037,"I mean, anything.",ans,fru
Ses05F_impro04_M035,Like- What's your ideal job?  What do you want to do?,q,neu
Ses05F_impro04_F038,"Well, I'd like to be a working actor.",ans,neu
Ses05F_impro04_M036,Of course.,ag,neu
Ses05F_impro04_F039,But um--,b,neu
Ses05F_impro04_M037,"Everyone wants to be a working actor, but they all work at something else.",o,neu
Ses05F_impro04_F040,Yeah.,ag,neu
Ses05F_impro04_M038,So what's the something else?,q,neu
Ses05F_impro04_F041,"Bartending, catering.",ans,neu
Ses05F_impro04_M039,"You can't get a catering gig?  Well, I can call some friends.  I- Well, I did call some friends before, but you went in once and then never went back.",s,neu
Ses05F_impro04_F042,Would you be willing to make some more calls on my behalf? I won't--I won't make you look bad.,q,sad
Ses05F_impro04_M040,If I- If you- Will you stick with it?,q,neu
Ses05F_impro04_F043,yeah.,ans,neu
Ses05F_impro04_M041,"Okay.  Okay, I'll call some people.",s,neu
Ses05F_impro04_F044,Thank you.,g,neu
Ses05F_impro04_M042,"But you've got to keep looking for other stuff. You've got to do it on your own, too.  Okay?",q,neu
Ses05F_impro04_F045,"I will, I will.",ans,neu
